"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","13","test_search_logic[\u6bdb\u5dfe-0-has_data-\u6b63\u5411-\u7cbe\u51c6\u5173\u952e\u8bcd\u641c\u7d22]","scripts","2026-03-15","passed","2026-03-15","TestSearch","test_search","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","26","test_address_lifecycle[\u6d4b\u5c0f\u5f00-13800001111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u77ed-110101-True-401-\u8fb9\u754c-\u5730\u5740\u5c11\u4e8e5\u5b57-\u5e94\u62e6\u622a]","scripts","2026-03-15","failed","2026-03-15","TestAddress","test_address","",""
"
        验证结算页面的金额计算逻辑
        校验点：1. 接口连通性；2. 运费策略触发；3. 应付总额核算一致性
        ","41","test_checkout_price_logic[1046002-3-60-0-8.0-37.97-\u8d2d\u7269\u8f66\u7ed3\u7b97\u91d1\u989d\u7cbe\u5ea6\u6821\u9a8c-9.99\u5143\u573a\u666f]","scripts","2026-03-15","passed","2026-03-15","TestCheckout","test_checkout","",""
"
        验证添加购物车接口的业务逻辑一致性
        验证点：1. 接口响应状态码；2. 成功加购后购物车内商品数量的数学累加关系
        ","9","test_add_cart[1181000-1-999999-711-\u5f02\u5e38-\u4f7f\u7528\u4e0d\u5b58\u5728\u7684productId]","scripts","2026-03-15","passed","2026-03-15","TestCart","test_cart","",""
"
        验证商品分类详情接口的数据一致性
        验证点：1. 业务响应状态码 (errno)；2. 分类主体名称 (Category Name)
        ","5","test_get_category_details[1005007-0-\u9505\u5177-\u9a8c\u8bc1\u9910\u53a8\u4e0b\u7684\u5b50\u5206\u7c7b-\u9505\u5177]","scripts","2026-03-15","passed","2026-03-15","TestGoods","test_goods","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","24","test_address_lifecycle[\u6d4b\u5c0f\u5f00-13800001111-123-456-789-\u6545\u5bab1\u53f7-110101-True-0-\u5f02\u5e38-\u7701\u5e02\u533a\u4e3a\u7eaf\u6570\u5b57-\u5df2\u77e5Bug(\u540e\u7aef\u672a\u6821\u9a8c)]","scripts","2026-03-15","passed","2026-03-15","TestAddress","test_address","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","39","test_search_logic[-0-has_data-\u8fb9\u754c-\u5173\u952e\u8bcd\u4e3a\u7a7a(\u901a\u5e38\u8fd4\u56de\u9ed8\u8ba4\u5217\u8868)]","scripts","2026-03-15","passed","2026-03-15","TestSearch","test_search","",""
"
        验证结算页面的金额计算逻辑
        校验点：1. 接口连通性；2. 运费策略触发；3. 应付总额核算一致性
        ","28","test_checkout_price_logic[1036002-1-48-0-0.0-100.0-\u6ee1\u51cf\u6d3b\u52a8\u91d1\u989d\u89e6\u53d1\u4e34\u754c\u70b9\u6d4b\u8bd5]","scripts","2026-03-15","passed","2026-03-15","TestCheckout","test_checkout","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","30","test_address_lifecycle[\u59d3\u540d\u8d85\u8fc7\u5341\u4e94\u4e2a\u5b57\u7b26\u7684\u957f\u59d3\u540d\u6d4b\u8bd5-13800001111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u6545\u5bab1\u53f7-110101-True-401-\u8fb9\u754c-\u59d3\u540d\u8d85\u8fc715\u5b57-\u5e94\u62e6\u622a]","scripts","2026-03-15","failed","2026-03-15","TestAddress","test_address","",""
"
        验证添加购物车接口的业务逻辑一致性
        验证点：1. 接口响应状态码；2. 成功加购后购物车内商品数量的数学累加关系
        ","34","test_add_cart[1181000-1-1-0-\u5546\u54c1\u52a0\u8d2d\u6570\u91cf\u6700\u5c0f\u503c\u8fb9\u754c\u6d4b\u8bd5]","scripts","2026-03-15","passed","2026-03-15","TestCart","test_cart","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","10","test_search_logic[--0-no_data-\u7279\u6b8a-\u641c\u7d22\u5305\u542b\u6a2a\u6760\u7684\u7b26\u53f7]","scripts","2026-03-15","failed","2026-03-15","TestSearch","test_search","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","6","test_address_lifecycle[-13800001111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u6545\u5bab1\u53f7-110101-True-401-\u9006\u5411-\u59d3\u540d\u4e3a\u7a7a-\u5e94\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestAddress","test_address","",""
"
        验证用户注册接口在不同输入组合下的业务行为
        校验点：1. 动态凭证生成的合法性；2. 业务状态码 (errno) 契约校验
        ","6","test_register[testuser3-123456-138001380001-123456-707-\u6ce8\u518c-\u624b\u673a\u53f712\u4f4d\u683c\u5f0f\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestRegister","test_register","",""
"
        验证结算页面的金额计算逻辑
        校验点：1. 接口连通性；2. 运费策略触发；3. 应付总额核算一致性
        ","42","test_checkout_price_logic[1181000-1-1-0-0.0-999.0-\u5927\u989d\u5546\u54c1\u76f4\u63a5\u514d\u8fd0\u8d39-999\u5143\u573a\u666f]","scripts","2026-03-15","passed","2026-03-15","TestCheckout","test_checkout","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","19","test_address_lifecycle[#\uffe5%*-13800001111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u6545\u5bab1\u53f7-110101-True-401-\u975e\u6cd5\u503c-\u59d3\u540d\u542b\u7279\u6b8a\u7b26\u53f7-\u5e94\u62e6\u622a]","scripts","2026-03-15","failed","2026-03-15","TestAddress","test_address","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","12","test_search_logic[  \u6bdb\u5dfe  -0-has_data-\u5bb9\u9519-\u5173\u952e\u8bcd\u5e26\u9996\u5c3e\u7a7a\u683c]","scripts","2026-03-15","failed","2026-03-15","TestSearch","test_search","",""
"
        验证用户注册接口在不同输入组合下的业务行为
        校验点：1. 动态凭证生成的合法性；2. 业务状态码 (errno) 契约校验
        ","4","test_register[testuser1-12345-NEW_MOBILE-123456-704-\u6ce8\u518c-\u5bc6\u7801\u4f4e\u4e8e6\u4f4d\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestRegister","test_register","",""
"
        用户登录接口参数化测试 (DDT)
        校验点：1. HTTP 响应状态码；2. 业务逻辑错误码 (errno)
        ","95","test_login[user123-User123-700-\u9006\u5411-\u5bc6\u7801\u5927\u5c0f\u5199\u654f\u611f\u6821\u9a8c]","scripts","2026-03-15","passed","2026-03-15","TestLogin","test_login","",""
"
        用户登录接口参数化测试 (DDT)
        校验点：1. HTTP 响应状态码；2. 业务逻辑错误码 (errno)
        ","3","test_login[-user123-700-\u8d26\u53f7\u4e3a\u7a7a-\u9884\u671f\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestLogin","test_login","",""
"
        验证用户注册接口在不同输入组合下的业务行为
        校验点：1. 动态凭证生成的合法性；2. 业务状态码 (errno) 契约校验
        ","4","test_register[user123-123456-13800138000-123456-704-\u6ce8\u518c-\u624b\u673a\u53f7\u5df2\u5b58\u5728\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestRegister","test_register","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","3","test_address_lifecycle[\u6d4b\u5c0f\u5f00-13800001111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u6545\u5bab1\u53f7--True-401-\u9006\u5411-\u884c\u653f\u4ee3\u7801\u7f3a\u5931-\u5e94\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestAddress","test_address","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","11","test_search_logic[' OR '1'='1-0-no_data-\u5b89\u5168-\u641c\u7d22\u6846\u6ce8\u5165\u5c1d\u8bd5]","scripts","2026-03-15","passed","2026-03-15","TestSearch","test_search","",""
"
        验证商品分类详情接口的数据一致性
        验证点：1. 业务响应状态码 (errno)；2. 分类主体名称 (Category Name)
        ","6","test_get_category_details[1010001-0-\u5185\u8863-\u9a8c\u8bc1\u670d\u88c5\u4e0b\u7684\u5b50\u5206\u7c7b-\u5185\u8863]","scripts","2026-03-15","passed","2026-03-15","TestGoods","test_goods","",""
"
        用户登录接口参数化测试 (DDT)
        校验点：1. HTTP 响应状态码；2. 业务逻辑错误码 (errno)
        ","86","test_login[user123-user123-0-\u6210\u529f\u767b\u5f55-\u5b58\u91cf\u8d26\u53f7]","scripts","2026-03-15","passed","2026-03-15","TestLogin","test_login","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","10","test_search_logic[\u8fd9\u662f\u4e00\u4e2a\u8d85\u8fc7\u4e94\u5341\u4e2a\u5b57\u7b26\u7684\u957f\u5173\u952e\u8bcd...-0-no_data-\u8fb9\u754c-\u8d85\u957f\u5173\u952e\u8bcd]","scripts","2026-03-15","passed","2026-03-15","TestSearch","test_search","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","52","test_search_logic[%-0-no_data-\u5b89\u5168-SQL\u901a\u914d\u7b26\u641c\u7d22]","scripts","2026-03-15","failed","2026-03-15","TestSearch","test_search","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","26","test_address_lifecycle[\u6d4b\u5c0f\u5f00-13800001111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u6545\u5bab1\u53f7-110101-True-0-\u6b63\u5411-\u65b0\u589e\u5730\u5740\u6210\u529f]","scripts","2026-03-15","passed","2026-03-15","TestAddress","test_address","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","3","test_address_lifecycle[-13800001111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u6545\u5bab1\u53f7-110101-True-401-\u6536\u8d27\u5730\u5740\u59d3\u540d\u4e3a\u7a7a\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestAddress","test_address","",""
"
        验证添加购物车接口的业务逻辑一致性
        验证点：1. 接口响应状态码；2. 成功加购后购物车内商品数量的数学累加关系
        ","25","test_add_cart[1181000-1-1-0-\u6210\u529f\u52a0\u5165\u8d2d\u7269\u8f66]","scripts","2026-03-15","passed","2026-03-15","TestCart","test_cart","",""
"
        用户登录接口参数化测试 (DDT)
        校验点：1. HTTP 响应状态码；2. 业务逻辑错误码 (errno)
        ","6","test_login[ user123 -user123-0-\u5bb9\u9519-\u7528\u6237\u540d\u5e26\u9996\u5c3e\u7a7a\u683c\u5e94\u81ea\u52a8\u53bb\u7a7a\u683c]","scripts","2026-03-15","failed","2026-03-15","TestLogin","test_login","",""
"
        验证添加购物车接口的业务逻辑一致性
        验证点：1. 接口响应状态码；2. 成功加购后购物车内商品数量的数学累加关系
        ","5","test_add_cart[1181000-0-1-401-\u8fb9\u754c-\u52a0\u8d2d\u6570\u91cf\u4e3a0-\u5e94\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestCart","test_cart","",""
"
        用户登录接口参数化测试 (DDT)
        校验点：1. HTTP 响应状态码；2. 业务逻辑错误码 (errno)
        ","100","test_login[user123-wrong_pwd-700-\u5bc6\u7801\u9519\u8bef-\u9884\u671f\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestLogin","test_login","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","8","test_search_logic[\u4e0d\u5b58\u5728\u7684\u5546\u54c1\u540d\u79f0-0-no_data-\u6b63\u5411-\u65e0\u7ed3\u679c\u641c\u7d22]","scripts","2026-03-15","passed","2026-03-15","TestSearch","test_search","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","6","test_search_logic[<script>alert(1)</script>-0-no_data-\u641c\u7d22XSS\u811a\u672c\u653b\u51fb\u5b89\u5168\u6d4b\u8bd5]","scripts","2026-03-15","passed","2026-03-15","TestSearch","test_search","",""
"
        验证商品分类详情接口的数据一致性
        验证点：1. 业务响应状态码 (errno)；2. 分类主体名称 (Category Name)
        ","3","test_get_category_details[1008017-0-\u6536\u7eb3-\u9a8c\u8bc1\u914d\u4ef6\u4e0b\u7684\u5b50\u5206\u7c7b-\u6536\u7eb3]","scripts","2026-03-15","passed","2026-03-15","TestGoods","test_goods","",""
"
        验证结算页面的金额计算逻辑
        校验点：1. 接口连通性；2. 运费策略触发；3. 应付总额核算一致性
        ","43","test_checkout_price_logic[1009027-1-17-0-8.0-87.0-\u7cbe\u51c6\u8fb9\u754c-79\u5143\u672a\u6ee188]","scripts","2026-03-15","passed","2026-03-15","TestCheckout","test_checkout","",""
"
        验证结算页面的金额计算逻辑
        校验点：1. 接口连通性；2. 运费策略触发；3. 应付总额核算一致性
        ","35","test_checkout_price_logic[1064003-1-74-0-0.0-88.0-\u5b8c\u7f8e\u8fb9\u754c-\u6b63\u597d88.00\u5143\u5e94\u514d\u90ae]","scripts","2026-03-15","passed","2026-03-15","TestCheckout","test_checkout","",""
"
        验证结算页面的金额计算逻辑
        校验点：1. 接口连通性；2. 运费策略触发；3. 应付总额核算一致性
        ","33","test_checkout_price_logic[1115052-1-162-0-8.0-95.99-\u4e34\u754c\u8fb9\u754c-87.99\u5143\u5e94\u6536\u8fd0\u8d39]","scripts","2026-03-15","passed","2026-03-15","TestCheckout","test_checkout","",""
"
        验证用户注册接口在不同输入组合下的业务行为
        校验点：1. 动态凭证生成的合法性；2. 业务状态码 (errno) 契约校验
        ","117","test_register[new_user-123456-NEW_MOBILE-123456-0-\u6210\u529f\u6ce8\u518c\u65b0\u7528\u6237-\u52a8\u6001\u624b\u673a\u53f7]","scripts","2026-03-15","passed","2026-03-15","TestRegister","test_register","",""
"
        验证结算页面的金额计算逻辑
        校验点：1. 接口连通性；2. 运费策略触发；3. 应付总额核算一致性
        ","39","test_checkout_price_logic[1009027-2-17-0-0.0-158.0-\u7cbe\u51c6\u8fb9\u754c-158\u5143\u5df2\u6ee188]","scripts","2026-03-15","passed","2026-03-15","TestCheckout","test_checkout","",""
"
        验证结算页面的金额计算逻辑
        校验点：1. 接口连通性；2. 运费策略触发；3. 应付总额核算一致性
        ","45","test_checkout_price_logic[1006051-2-12-0-0.0-118.0-\u6ee188\u5143\u514d\u8fd0\u8d39-118\u5143\u573a\u666f]","scripts","2026-03-15","passed","2026-03-15","TestCheckout","test_checkout","",""
"
        验证商品分类详情接口的数据一致性
        验证点：1. 业务响应状态码 (errno)；2. 分类主体名称 (Category Name)
        ","6","test_get_category_details[1008002-0-\u5e03\u827a\u8f6f\u88c5-\u9a8c\u8bc1\u5c45\u5bb6\u4e0b\u7684\u5b50\u5206\u7c7b-\u5e03\u827a\u8f6f\u88c5]","scripts","2026-03-15","passed","2026-03-15","TestGoods","test_goods","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","7","test_address_lifecycle[\u6d4b\u5c0f\u5f00-138A0001111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u6545\u5bab1\u53f7-110101-True-401-\u975e\u6cd5\u503c-\u624b\u673a\u53f7\u542b\u5b57\u6bcd-\u5e94\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestAddress","test_address","",""
"
        验证结算页面的金额计算逻辑
        校验点：1. 接口连通性；2. 运费策略触发；3. 应付总额核算一致性
        ","79","test_checkout_price_logic[1006051-1-12-0-8.0-67.0-\u4e0d\u6ee188\u5143\u65368\u5143\u8fd0\u8d39-59\u5143\u573a\u666f]","scripts","2026-03-15","passed","2026-03-15","TestCheckout","test_checkout","",""
"
        验证用户注册接口在不同输入组合下的业务行为
        校验点：1. 动态凭证生成的合法性；2. 业务状态码 (errno) 契约校验
        ","4","test_register[testuser2-123456789012345678901-NEW_MOBILE-123456-704-\u6ce8\u518c-\u5bc6\u7801\u8d85\u8fc720\u4f4d\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestRegister","test_register","",""
"
        用户登录接口参数化测试 (DDT)
        校验点：1. HTTP 响应状态码；2. 业务逻辑错误码 (errno)
        ","3","test_login[' OR 1=1 ---123-700-\u5b89\u5168-SQL\u6ce8\u5165\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestLogin","test_login","",""
"
        验证添加购物车接口的业务逻辑一致性
        验证点：1. 接口响应状态码；2. 成功加购后购物车内商品数量的数学累加关系
        ","4","test_add_cart[1181000--1-1-401-\u5f02\u5e38-\u52a0\u8d2d\u6570\u91cf\u4e3a\u8d1f\u6570-\u5e94\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestCart","test_cart","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","9","test_search_logic[\u624b\u673a-0-has_data-\u5173\u952e\u8bcd\u6a21\u7cca\u5339\u914d\u641c\u7d22]","scripts","2026-03-15","passed","2026-03-15","TestSearch","test_search","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","7","test_address_lifecycle[\u6d4b\u5c0f\u5f00-138000011111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u6545\u5bab1\u53f7-110101-True-401-\u8fb9\u754c-\u624b\u673a\u53f7\u8d85\u8fc711\u4f4d-\u5e94\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestAddress","test_address","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","4","test_address_lifecycle[\u6d4b\u5c0f\u5f00-1380000-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u6545\u5bab1\u53f7-110101-True-401-\u9006\u5411-\u624b\u673a\u53f7\u4e0d\u8db311\u4f4d-\u5e94\u62e6\u622a]","scripts","2026-03-15","passed","2026-03-15","TestAddress","test_address","",""
"
        验证添加购物车接口的业务逻辑一致性
        验证点：1. 接口响应状态码；2. 成功加购后购物车内商品数量的数学累加关系
        ","11","test_add_cart[1181000-1000000-1-402-\u6781\u7aef-\u52a0\u8d2d\u4e00\u767e\u4e07\u4ef6-\u9884\u671f\u5e93\u5b58\u4e0d\u8db3]","scripts","2026-03-15","passed","2026-03-15","TestCart","test_cart","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","11","test_search_logic[1006051-0-has_data-\u6b63\u5411-\u76f4\u63a5\u641c\u7d22\u5546\u54c1ID]","scripts","2026-03-15","failed","2026-03-15","TestSearch","test_search","",""
"
        收货地址全生命周期校验（参数化测试）
        验证点：1. 接口响应状态码；2. 业务 errno 码；3. 数据库资源创建结果
        ","23","test_address_lifecycle[ -13800001111-\u5317\u4eac\u5e02-\u5e02\u8f96\u533a-\u4e1c\u57ce\u533a-\u6545\u5bab1\u53f7-110101-True-401-\u5f02\u5e38-\u59d3\u540d\u4ec5\u4e3a\u7a7a\u683c]","scripts","2026-03-15","failed","2026-03-15","TestAddress","test_address","",""
"
        验证搜索接口的检索逻辑与数据一致性
        验证点：1. 接口协议契约；2. 业务响应码；3. 检索结果相关性（召回率）
        ","8","test_search_logic[apple-0-has_data-\u641c\u7d22\u5173\u952e\u8bcd\u5927\u5c0f\u5199\u4e0d\u654f\u611f\u6821\u9a8c]","scripts","2026-03-15","passed","2026-03-15","TestSearch","test_search","",""
